游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数
这是我的战争(含数据包),9.3 ,模拟经营,"英文, 中文",54℃,2016-03-18,1.3.9,完全免费,11 bit studios,4.0以上,27485,13323
瘟疫公司,7.3 ,策略塔防,中文,54℃,2016-01-29,1.1.2,道具收费,北京寻梦科技有限公司,2.2以上,5028,1223
死亡扳机修改版(含数据包),8.2 ,射击游戏,英文,54℃,2016-01-15,1.9.5,完全免费,Madfinger Games,2.3.3以上,10701,1836
监狱脱出少女Lie汉化版,6.2 ,冒险解谜,中文,54℃,2013-08-09,1.2,完全免费,Ateam Inc.,2.3.3以上,1769,1450
阿尔龙:剑影(含数据包),7.5 ,角色扮演,英文,54℃,2015-10-22,4.53,完全免费,Crescent Moon,2.3以上,5630,2984
亡灵杀手:夏侯惇,5.9 ,动作游戏,中文,54℃,2015-09-07,3.5.0,道具收费,触控科技,2.3.3以上,1200,455
文明:变革2中文版(含数据包),8.2 ,策略塔防,中文,54℃,2014-11-17,1.3.1,完全免费,2K Games,3.0以上,6513,6325
神秘地域:伊班的足迹(含数据包),7.0 ,动作游戏,"英文, 中文",54℃,2014-10-28,1.4,完全免费,Semaphore Studios,4.1以上,2796,4304
NBA2K14谷歌市场版(含数据包),7.8 ,体育运动,"英文, 中文",54℃,2014-03-28,1,完全免费,2K Games,4.0以上,1925,572
神石传说之亚伦传,5.1 ,角色扮演,中文,54℃,2013-12-16,1.4.3,完全免费,INFRAWARE,2.2以上,1275,851
实况足球2011(含数据包),5.8 ,体育运动,英文,54℃,2013-12-07,1.0.6,完全免费,科乐美,1.6以上,1686,112
坚守阵地汉化版,5.1 ,策略塔防,中文,54℃,2011-08-09,1.04,完全免费,"Subatomic Studios, LLC",2.1以上,1514,168
疯狂卡丁车,5.4 ,竞速游戏,英文,54℃,2010-12-16,1.2.7,完全免费,Polarbit,1.5以上,1064,41
未上锁的房间2汉化版(含数据包),8.5 ,冒险解谜,中文,53℃,2014-04-29,1,完全免费,Fireproof Games,2.3以上,5958,3854
