游戏名称,评分,类别,语言,热度,最后更新时间,游戏版本,资费,开发商,支持系统,评论数,喜欢数
暴走！僵尸之城中文版,7.6 ,益智休闲,中文,38℃,2012-08-10,1.0.2,完全免费,Glu,2.1以上,881,55
枫叶冒险岛,7.6 ,冒险解谜,"英文, 韩文",38℃,2012-07-03,1.1.1,完全免费,NEXON,2.2以上,1262,131
武神:死亡地带,,动作游戏,英文,38℃,2012-05-20,1.0.3,完全免费,WIZ Communications Inc.,2.0.1以上,380,33
太鼓次郎(含数据包),7.6 ,音乐游戏,日文,38℃,2011-12-16,3,完全免费,,2.1以上,806,186
虚拟家庭完整版,5.1 ,模拟经营,英文,38℃,2011-09-08,1.1,完全免费,"Last Day of Work, LLC",1.6以上,452,130
豪华俄罗斯方块,4.8 ,益智休闲,英文,38℃,2011-07-15,1.08,完全免费,,1.6以上,190,10
3D大海战,,策略塔防,英文,38℃,2011-05-24,1.0.3,完全免费,"Artificial Life, Inc.",2.0.1以上,170,36
天空的荣耀,5.3 ,飞行游戏,英文,38℃,2011-01-23,1.0.2,完全免费,,2.0以上,447,103
燃烧的轮胎,5.0 ,竞速游戏,英文,38℃,2010-10-21,2,完全免费,,2.0以上,147,5
像素城市战争(含数据包),6.5 ,射击游戏,英文,37℃,2016-09-18,5.1.3,完全免费,,2.3.3以上,2256,1211
高尔夫之星,7.9 ,体育运动,"中文, 韩文",37℃,2016-09-28,4.4.3,完全免费,Com2uS,2.3以上,1076,319
诺亚之瓶,7.9 ,音乐游戏,中文,37℃,2016-09-26,2.11,完全免费,Free Music game,4.0以上,2925,2472
Anipang拼图解密forKakao,,益智休闲,韩文,37℃,2016-09-20,1.3.46,完全免费,"SUNDAYTOZ, INC",2.3以上,454,42
真实滑板,5.3 ,体育运动,英文,37℃,2016-08-29,1.4.4,完全免费,True Axis,2.3以上,933,283
僵尸大战玩具,,策略塔防,英文,37℃,2016-08-05,1.01.00,完全免费,MANASTONE,3.0以上,880,96
迷失之声(含数据包),8.2 ,冒险解谜,中文,37℃,2016-06-17,1.9.13,完全免费,,2.3.3以上,3584,5003
修剪艺术,7.7 ,益智休闲,中文,37℃,2016-05-13,1.0.61,完全免费,Joel McDonald,2.3.3以上,2684,2047
卡通战争,,策略塔防,"英文, 韩文",37℃,2016-04-09,1.1.2,完全免费,GAMEVIL,2.3以上,472,72
回声探路,6.9 ,冒险解谜,中文,37℃,2016-03-23,1.3.2,完全免费,RAC7,2.3以上,1935,1212
神奇绘图,5.4 ,冒险解谜,英文,37℃,2016-03-02,1.7.1,完全免费,isTom Games,3.0以上,351,927
独轮车,7.9 ,益智休闲,英文,37℃,2015-12-10,1.44,完全免费,Simon Durcroquet,2.3以上,616,100
神秘之剑,7.8 ,动作游戏,中文,37℃,2015-12-07,1.2.2,道具收费,北京雷霆万钧网络科技有限责任公司,2.3以上,2439,1306
大海战2汉化版(含数据包),6.1 ,策略塔防,中文,37℃,2015-02-13,1.131,完全免费,Capital j Media LLC,2.3以上,2608,1383
蘑菇大战,,策略塔防,英文,37℃,2015-11-24,2.4,完全免费,WestRiver,2.3以上,204,53
伊莎贝尔(含数据包),5.8 ,角色扮演,英文,37℃,2013-12-07,3.3,完全免费,,2.0.1以上,806,1181
火柴人网球,5.1 ,体育运动,英文,37℃,2015-11-04,1.8,完全免费,Djinnworks e.U.,2.3以上,354,86
火柴人篮球完整版,8.0 ,体育运动,英文,37℃,2014-07-28,1.2,完全免费,Djinnworks e.U.,2.2以上,810,326
啪啪英雄,8.0 ,益智休闲,英文,37℃,2015-08-26,1.32,完全免费,,2.3.3以上,629,72
愤怒的老奶奶2,,益智休闲,英文,37℃,2015-07-02,1.0.9,完全免费,Ace Viral,2.3以上,174,34
纵横合体打飞机,5.0 ,飞行游戏,"英文, 日文",37℃,2015-05-29,1.00.01,完全免费,Capcom,4.0以上,2072,169
玩具熊的五夜后宫3,5.5 ,冒险解谜,英文,37℃,2015-04-13,1.07,完全免费,Scottgames,2.3以上,1565,712
寿司好友,5.0 ,模拟经营,中文,37℃,2015-01-21,1.5.5,完全免费,"FUN,COOL & ADDICTING GAMES",2.3.3以上,223,81
会说话的情人,,益智休闲,中文,37℃,2014-10-13,3.0.0,道具收费,苏州天平先进数字科技有限公司,2.3.3以上,91,63
X战警:逆转未来破解版,8.1 ,动作游戏,英文,37℃,2014-09-04,1,完全免费,Marvelous Games,4.0以上,3657,1155
南极大冒险,5.1 ,冒险解谜,英文,37℃,2014-08-01,2.1.2,完全免费,Supersolid,2.3以上,246,53
大鼻子探险家完整版,7.9 ,益智休闲,英文,37℃,2014-06-11,1.0.790,完全免费,Paolo Tajè,2.3.3以上,617,76
女巫重生汉化破解版,5.1 ,策略塔防,中文,37℃,2014-05-10,1.02,完全免费,Dotomchi Games,2.3以上,424,443
决战海盗,4.8 ,策略塔防,英文,37℃,2014-05-04,1.1.50,完全免费,"Flashpoint Games, LLC",2.3以上,213,94
坦克大战(含数据包),5.3 ,射击游戏,中文,37℃,2013-12-10,1.1.3g,完全免费,Gameloft,2.3以上,460,387
暴力战车(含数据包),5.3 ,射击游戏,英文,37℃,2013-12-06,3.0.0,完全免费,Glu,2.1以上,793,100
黑帮时代(含数据包),4.7 ,模拟经营,英文,37℃,2012-09-11,2.2.3,完全免费,Glu,2.1以上,564,166
3D越野赛车精简版,,竞速游戏,英文,37℃,2013-10-21,1.19,完全免费,Gray Fin Studios,2.2以上,194,8
天空之城,,模拟经营,中文,37℃,2013-07-12,3.08,完全免费,JCE,2.2以上,499,56
捣蛋派,8.1 ,益智休闲,英文,37℃,2013-02-07,1.0.5,完全免费,北京微科思微尔毕科技有限责任公司,2.2以上,3910,20
要塞围城,7.1 ,策略塔防,中文,37℃,2012-09-27,2.1,完全免费,第九城市,2.0以上,1051,116
美女格斗,,格斗游戏,英文,37℃,2012-07-17,1.1.3,完全免费,"PJS-Coding, S.L.",2.0以上,188,73
特种部队暴力街区中文版,,射击游戏,中文,37℃,2012-03-31,1,完全免费,,2.1以上,245,7
钻石迷情,,益智休闲,英文,37℃,2012-02-24,2.3.1,完全免费,Smartpix Games,1.5以上,850,12
古剑奇缘诛仙,,角色扮演,中文,37℃,2011-08-08,1,道具收费(2元),仙掌软件,1.6以上,41,3
矢量跑酷2,7.0 ,动作游戏,英文,36℃,2016-09-26,1.0.4,完全免费,Nekki,4.1以上,861,238
云朵追逐者汉化版,6.7 ,冒险解谜,中文,36℃,2016-09-09,1.0.51,完全免费,Blindflug StudiOS,4.4以上,3922,2278
生化危机之横扫僵尸,5.2 ,射击游戏,中文,36℃,2015-05-13,1.36,道具收费,杭州非奇科技有限公司,2.2以上,341,72
屠龙猎手高清版(含数据包),5.0 ,角色扮演,英文,36℃,2016-09-18,1.7.0,完全免费,Tatem Games,4.0.3以上,502,268
愤怒的小鸟变形金刚,7.7 ,动作游戏,中文,36℃,2016-09-09,1.9.40,道具收费,咪咕互动娱乐有限公司,4.0以上,1407,836
圣犬帕拉,7.5 ,策略塔防,英文,36℃,2016-08-30,2.2.0,完全免费,FazeCat,2.1以上,1470,140
印第安探险2(含数据包),8.0 ,动作游戏,英文,36℃,2016-08-29,1.0.7,完全免费,ALPER SARIKAYA,2.3.3以上,1552,869
森林生活,5.0 ,养成游戏,英文,36℃,2016-08-09,2.0.9,完全免费,Cross Field,4.0以上,230,194
劳拉:遗迹逃亡修改版(含数据包),6.1 ,动作游戏,英文,36℃,2016-06-22,1.10.97,完全免费,SQEX,3.0以上,2687,873
黑暗领地修改版,7.9 ,动作游戏,中文,36℃,2016-05-19,1.2.5,完全免费,Bulkypix,4.4以上,729,377
拳皇97高清版,5.1 ,格斗游戏,中文,36℃,2016-04-21,2.1.6612,道具收费,北京武耀科技有限公司,2.3.3以上,585,181
像素魂斗罗2,8.0 ,动作游戏,英文,36℃,2016-02-18,2.0.3,完全免费,OrangePixel,2.3以上,2021,592
大西洋舰队(含数据包),7.4 ,射击游戏,英文,36℃,2016-02-08,1.12,完全免费,Killer Fish Games,4.0以上,2869,1245
元素:史诗英雄(含数据包),7.5 ,角色扮演,"英文, 中文, 韩文, 日文",36℃,2015-12-26,1.5.5,完全免费,GAMEVIL,2.3.3以上,910,1194
冰冻时间2,5.2 ,益智休闲,中文,36℃,2015-12-11,1.14,完全免费,Frozen Gun Games,4.1以上,2509,754
死亡之眼,8.2 ,冒险解谜,英文,36℃,2015-05-23,2.2,完全免费,LoadComplete,2.3.3以上,3123,794
孤胆枪手(含数据包),5.6 ,射击游戏,英文,36℃,2014-12-01,1.1.2,完全免费,Sigma Team,3.0以上,723,282
僵尸前线3D,5.1 ,射击游戏,中文,36℃,2015-04-07,2.4,道具收费,杭州非奇科技有限公司,2.2以上,666,138
卡牌地牢汉化版(含数据包),6.3 ,棋牌游戏,中文,36℃,2015-02-04,1.2,完全免费,"Playtap Games, LLC",2.3.3以上,942,1663
世界2-魔物狩猎(含数据包),7.7 ,角色扮演,中文,36℃,2014-11-20,1,完全免费,Good Game & OXON game studio,2.3.3以上,2989,1257
乌托邦跑酷,7.5 ,益智休闲,英文,36℃,2015-01-16,1.2.1,完全免费,Noble Muffins,2.3以上,684,41
无重力战机(含数据包),6.0 ,飞行游戏,中文,36℃,2014-11-06,1.10.2,完全免费,realtech VR,2.3以上,379,103
虫虫历险记,5.1 ,益智休闲,英文,36℃,2014-10-25,1.9,完全免费,FDG Entertainment GmbH,2.3以上,57,39
别出白线,7.8 ,益智休闲,英文,36℃,2014-07-07,1.4,完全免费,Kevin Choteau,2.3以上,651,236
幻影城堡(含数据包),8.4 ,动作游戏,英文,36℃,2014-07-01,1.1.0,完全免费,Disney,4.0以上,3724,1581
魔法庄园,8.1 ,模拟经营,"中文, 韩文",36℃,2014-05-28,1.4.4,完全免费,Com2uS,2.2以上,4272,286
袋子大乱斗,,益智休闲,中文,36℃,2014-03-29,3.2,完全免费,Hidden Variable Studios,2.1以上,296,50
密室逃脱汉化版(含数据包),7.5 ,益智休闲,中文,36℃,2013-12-06,1.0.2,完全免费,,2.2以上,1030,170
水果连连看3,,益智休闲,英文,36℃,2013-09-23,2.0.0,完全免费,phoebe,2.1以上,111,2
3D急速摩托,5.1 ,竞速游戏,英文,36℃,2013-08-02,4.0.4,完全免费,fractiv,2.0.1以上,119,4
三国志街机版,5.2 ,动作游戏,中文,36℃,2013-07-29,5.2.6,完全免费,,1.5以上,108,52
疯狂原始人,7.8 ,模拟经营,英文,36℃,2013-06-08,1.2.0,完全免费,Rovio,2.3以上,736,128
疯狂滑雪专业版,,体育运动,英文,36℃,2012-12-11,1.1.5,完全免费,Ezone,2.0.1以上,94,28
劲乐团4汉化版,,音乐游戏,中文,36℃,2011-07-21,4.1.1,完全免费,Tapulous,2.1以上,194,89
小鸟防御-鸟蛋保卫战,,策略塔防,英文,36℃,2012-11-05,1.3,完全免费,yohosuff,2.1以上,143,4
重力小飞侠,5.0 ,动作游戏,英文,36℃,2012-10-26,1.4.5,完全免费,Miniclip,2.1以上,96,41
口袋妖怪漆黑魅影,5.9 ,角色扮演,中文,36℃,2012-09-24,1.0.3,完全免费,,2.1以上,684,165
猴子塔防4,7.9 ,策略塔防,英文,36℃,2012-08-21,2.1.0,完全免费,Digital Goldfish Ltd,1.5以上,668,9
超音速飞行3D中文版,,竞速游戏,中文,36℃,2012-08-08,1.32,完全免费,Osaris,2.2以上,173,33
隐秘古堡,,益智休闲,英文,36℃,2012-03-09,1,完全免费,3D Methods,1.6以上,43,14
真实足球2011(含数据包),4.9 ,体育运动,英文,36℃,2011-12-01,3.1.7,完全免费,Gameloft,2.1以上,380,102
刺客信条:启示录,5.0 ,角色扮演,英文,36℃,2011-11-01,1.0.8,完全免费,Gameloft,1.5以上,335,135
泽诺尼亚传奇2,5.2 ,角色扮演,"英文, 韩文",36℃,2011-03-30,1.0.5,完全免费,GAMEVIL,1.5以上,307,135
盗贼国王,8.4 ,动作游戏,中文,35℃,2016-09-28,2.13.3,完全免费,ZeptoLab,4.0.3以上,4439,663
童话农场(含数据包),4.8 ,模拟经营,英文,35℃,2016-09-18,2.9.4,完全免费,Game Garden?,2.3.3以上,375,140
粉粹办公室,7.0 ,益智休闲,英文,35℃,2016-09-18,1.10.32,完全免费,,4.0.3以上,801,81
战锤40K:弑君者汉化版(含数据包),6.7 ,策略塔防,"英文, 中文",35℃,2016-08-16,1,完全免费,Hammerfall,4.0以上,523,1061
小黄人天堂,6.0 ,模拟经营,中文,35℃,2016-09-02,9.2.3239,完全免费,EA,4.1以上,2161,917
伊苏1直装汉化版,7.4 ,角色扮演,"中文, 韩文, 日文",35℃,2015-07-19,1.0.0,完全免费,DotEmu,4.0以上,3544,1886
勇者之塔,5.8 ,益智休闲,中文,35℃,2016-08-16,1.5.3,完全免费,Tatsuki,2.3.3以上,2088,379
未上锁的房间3(含数据包),9.0 ,冒险解谜,英文,35℃,2016-08-04,1.03,完全免费,Fireproof Games,4.0.3以上,6837,5193
帝国VS兽人,,策略塔防,英文,35℃,2016-08-04,1.1.5,完全免费,Ezjoy,2.3以上,120,36
忍者跳跃豪华版去广告版,5.1 ,动作游戏,英文,35℃,2015-10-09,1.2.5,完全免费,Backflip Studios,2.3.3以上,1177,212
泡泡世界,,益智休闲,英文,35℃,2016-07-04,1.18,完全免费,Hapoga,4.1以上,67,21
波克艾克大冒险(含数据包),8.5 ,冒险解谜,英文,35℃,2016-04-22,1.7.1,完全免费,POSSIBLE Games,2.3以上,3775,1619
超能英雄:重生免验证版(含数据包),7.0 ,角色扮演,中文,35℃,2016-04-14,2,完全免费,Phosphor Games Studio,4.2以上,4735,3074
遗弃(含数据包),7.3 ,冒险解谜,英文,35℃,2016-03-17,1.1.31,完全免费,Gaijin Distribution,4.4以上,5056,3029
PewDiePie:兄弟拳传奇(含数据包),7.2 ,动作游戏,"英文, 中文",35℃,2016-03-24,1.4.0,完全免费,Outerminds Inc.,2.3.3以上,2492,852
越野传奇(含数据包),5.1 ,竞速游戏,英文,35℃,2016-03-21,1.3.10,完全免费,DogByte Games,2.3以上,192,66
保卫萝卜2,8.6 ,益智休闲,中文,35℃,2016-01-27,2.1.0,完全免费,萝卜工场,2.3以上,3809,354
上帝之火:普罗米修斯的崛起免验证版(含数据包),8.1 ,动作游戏,中文,35℃,2016-01-15,1.1.3,完全免费,Vivid Games,4.1以上,8746,6803
迷你血战2:僵尸,7.8 ,射击游戏,中文,35℃,2015-09-15,1.61,道具收费,东品西尚网络科技（北京）有限公司,4.0.3以上,610,381
抓玩具,,益智休闲,英文,35℃,2015-09-15,3.4,完全免费,Game Circus LLC,2.3.3以上,102,24
魔导小英雄(含数据包),5.8 ,角色扮演,中文,35℃,2015-08-19,1.1.3,完全免费,Happy Mage,4.0以上,1060,2040
监狱生活免验证版(含数据包),6.3 ,角色扮演,"英文, 中文",35℃,2015-08-04,1.4.0,完全免费,NobStudio,1.5以上,3621,1715
提基卡丁车,5.0 ,竞速游戏,英文,35℃,2015-07-20,7.2,完全免费,Arb Studios LLC,2.3以上,114,36
触摸侦探菇菇栽培研究室四季版,7.7 ,模拟经营,中文,35℃,2015-07-02,1.1.1,完全免费,BeeworksGames,2.3以上,666,191
重力迷宫,,益智休闲,英文,35℃,2015-04-22,2.1.11,完全免费,Opena,2.2以上,49,46
别踩白块儿3D版,7.0 ,益智休闲,英文,35℃,2015-04-13,1.07,完全免费,AG,2.3以上,690,64
机械战警(含数据包),7.7 ,射击游戏,中文,35℃,2015-02-04,3.0.6,完全免费,Glu,2.3以上,2759,803
法师防御,,策略塔防,英文,35℃,2015-01-04,2.5,完全免费,WestRiver,2.3以上,149,50
我要搬家,5.1 ,益智休闲,"中文, 韩文",35℃,2014-12-03,1.2.2,完全免费,Com2uS,2.1以上,204,73
玩具熊的五夜后宫2,6.1 ,冒险解谜,英文,35℃,2014-11-17,1.07,完全免费,Scottgames,2.3以上,707,483
摇摇欲坠,6.0 ,益智休闲,英文,35℃,2014-09-04,1.2.1,完全免费,.GEARS Studios,2.3.3以上,494,101
攻城诛魔:战争时代修改版(含数据包),,动作游戏,英文,35℃,2014-02-27,1,完全免费,Crescent Moon,2.3以上,524,511
2048原始版,5.7 ,益智休闲,英文,35℃,2014-04-01,4,完全免费,Estoty Entertainment Lab,2.3.3以上,284,132
迷你冲撞,8.3 ,动作游戏,英文,35℃,2013-09-13,1.05,完全免费,PlayCreek LLC,2.2以上,4921,318
谁动了我的奶酪,6.4 ,益智休闲,英文,35℃,2014-02-15,1.1,完全免费,,2.2以上,593,27
罪恶都市之西海岸的喧嚣(含数据包),5.0 ,动作游戏,英文,35℃,2013-12-05,3.4.0,完全免费,Gameloft,2.0以上,607,101
巨星是怎样炼成的,,养成游戏,"中文, 韩文",35℃,2013-11-01,1.1.6.2,完全免费,Com2uS,2.2以上,135,74
击倒铝罐,5.0 ,益智休闲,英文,35℃,2013-09-18,1.32,完全免费,iDreams,2.0.1以上,129,36
暴走大冒险汉化版,6.3 ,益智休闲,中文,35℃,2013-07-31,3,完全免费,ThankCreate Studio,2.2以上,1565,229
密室逃脱记,,益智休闲,英文,35℃,2013-04-22,1.5,完全免费,"IDAC CO.,LTD.",2.2以上,74,12
战斗机战争,,飞行游戏,英文,35℃,2013-04-21,1.2.0,完全免费,,2.2以上,33,0
涂鸦战船,,射击游戏,英文,35℃,2013-04-13,1.1.4,完全免费,Mass Creation,2.2以上,46,7
僵尸射击,,射击游戏,英文,35℃,2013-01-12,1.7.1,完全免费,TwoHeads Games,2.3以上,170,93
捍卫钓鱼岛,4.9 ,策略塔防,中文,35℃,2012-10-12,1.103.0,完全免费,omi131,1.6以上,770,10
士兵荣耀之二战完整版,,策略塔防,英文,35℃,2012-08-28,1.1.6,完全免费,Cat Studio Inc.,2.1以上,283,40
太阳能充电器,5.0 ,益智休闲,英文,35℃,2012-04-01,1.1,完全免费,Szlab,1.6以上,412,31
打飞你的好友,,益智休闲,英文,35℃,2012-03-05,1.09,完全免费,,2.0以上,210,3
台球俱乐部,5.1 ,体育运动,英文,35℃,2012-01-04,1.1.0,完全免费,Future Games of London,1.6以上,106,58
恐怖庄园的秘密汉化版,5.1 ,益智休闲,中文,35℃,2011-04-29,1.3,完全免费,,2.0.1以上,612,84
果宝三国,5.0 ,动作游戏,中文,34℃,2016-09-29,4.5,道具收费,乐逗,2.3.3以上,377,79
现代战争,5.1 ,策略塔防,英文,34℃,2016-09-29,6.6.0,完全免费,"GREE, INC",4.0.3以上,186,91
马儿快跑中文版,7.6 ,模拟经营,"中文, 韩文",34℃,2016-09-06,2.3.7,完全免费,Com2uS,2.3.3以上,912,94
英雄围城:口袋版(含数据包),7.3 ,角色扮演,英文,34℃,2016-08-17,1.7.3,完全免费,Panic Art Studios,2.3以上,1779,1474
3D枪械拆解2(含数据包),5.1 ,益智休闲,英文,34℃,2016-05-31,12.2.0,完全免费,Noble Empire,2.2以上,357,276
越野传奇2修改版(含数据包),5.5 ,竞速游戏,英文,34℃,2016-03-25,1.2.5,完全免费,DogByte Games,2.3以上,341,463
幻象杀手(含数据包),7.3 ,冒险解谜,英文,34℃,2016-03-26,1.0.2 137220,完全免费,"Aspyr Media, Inc.",4.1以上,2221,2992
奔跑的弗雷德修改版,,益智休闲,英文,34℃,2016-03-25,1.8.0,完全免费,Dedalord,2.3以上,479,85
火柴人足球2014完整版,7.0 ,体育运动,英文,34℃,2016-03-15,2.1,完全免费,Djinnworks e.U.,2.3以上,757,254
小鸡盖饭,5.1 ,益智休闲,英文,34℃,2016-02-16,2.1,完全免费,Gam.eBB,2.3以上,77,64
最终幻想:Agito完整版(含数据包),8.5 ,角色扮演,日文,34℃,2015-11-26,3.0.5,完全免费,SQEX,2.3.3以上,4100,1287
天使之剑修改版(含数据包),8.1 ,角色扮演,中文,34℃,2015-09-14,1.0.5,完全免费,DVide Arts Incorporated,4.3以上,3691,1404
特务型战任务:柏林(含数据包),5.3 ,动作游戏,"英文, 中文",34℃,2015-08-17,1.2.2,完全免费,WBIE,4.0以上,3327,713
末日经营者,7.9 ,模拟经营,中文,34℃,2015-07-22,127.0.7,完全免费,G5,2.3.3以上,1273,749
关东煮店人情故事汉化版,5.3 ,养成游戏,中文,34℃,2015-06-16,1.0.0,完全免费,"GAGEX Co.,Ltd.",4.0以上,1259,746
村庄日记汉化版,5.1 ,益智休闲,中文,34℃,2015-04-30,1.1.0,完全免费,Chillingo,4.0.3以上,1553,581
暴力反击修改版(含数据包),5.8 ,格斗游戏,英文,34℃,2014-07-17,1.8.0,完全免费,Chillingo,2.3.3以上,626,508
真实足球2015免验证版,7.4 ,体育运动,英文,34℃,2014-07-10,1.0.0,完全免费,Gameloft,2.3以上,892,171
哥斯拉:攻击区完整版(含数据包),7.5 ,角色扮演,中文,34℃,2014-05-12,1.0.0,完全免费,WBIE,4.0以上,1344,759
口袋世界(含数据包),7.6 ,角色扮演,英文,34℃,2013-12-07,1.21,完全免费,Tasty Poison Games,2.2以上,1007,392
非常跑酷(含数据包),7.5 ,益智休闲,英文,34℃,2013-12-07,1.5.2,完全免费,Get Set Games Inc.,2.2以上,807,87
全键盘模拟钢琴完全版,5.2 ,音乐游戏,英文,34℃,2013-06-20,2.4.14,完全免费,cyandroid,2.2以上,86,31
坦克骑士(含数据包),5.0 ,射击游戏,英文,34℃,2013-06-18,1.0.5,完全免费,Polarbit,1.5以上,236,78
嗜血狂鲨1,,益智休闲,英文,34℃,2013-06-06,2.2.1,完全免费,Future Games of London,1.6以上,237,8
冒险塔路路汉化版,,角色扮演,中文,34℃,2013-04-26,1.0.5,完全免费,mobirix,2.1以上,176,197
跨界网球,,体育运动,中文,34℃,2012-11-16,2.1.1,完全免费,"Refined Games, Inc.",2.1以上,74,11
冒险岛2代,5.5 ,动作游戏,中文,34℃,2012-11-02,5.0.4,完全免费,,1.5以上,150,49
瞎子忍者,5.1 ,动作游戏,英文,34℃,2012-10-06,1.1.0,完全免费,eggbones,2.3.3以上,90,21
英雄之战,,角色扮演,中文,34℃,2012-07-20,2.9,完全免费,UPON Studio,2.1以上,160,26
职业杀手僵尸之城(含数据包),4.9 ,射击游戏,英文,34℃,2012-06-21,3.1.0,完全免费,Glu,2.1以上,423,76
剑魂使者5,,格斗游戏,英文,34℃,2012-06-01,1.1,完全免费,3RD SENSE,2.2以上,181,8
残忍的兔子,4.9 ,角色扮演,英文,34℃,2011-09-02,1,完全免费,Mentalwarp Games,2.0.1以上,172,57
铁甲钢拳冠军赛(含数据包),6.9 ,格斗游戏,中文,33℃,2016-08-19,1.0.261,完全免费,RG,2.3.3以上,1325,704
史上最坑爹的游戏3,8.0 ,益智休闲,中文,33℃,2016-09-23,5.0.05,道具收费,珠海顶峰互动科技有限公司,2.3以上,519,74
疯狂动物城(含数据包),5.5 ,冒险解谜,"英文, 中文",33℃,2016-08-15,1.2.3.10225,完全免费,Disney,4.1以上,102,329
亚空间转移(含数据包),6.1 ,冒险解谜,"英文, 中文",33℃,2016-07-22,1.0.5,完全免费,Deep Silver,4.0以上,339,995
纸牌大战:探险活宝(含数据包),5.7 ,棋牌游戏,英文,33℃,2016-07-19,1.11.0,完全免费,Cartoon Network,2.3.3以上,613,571
战斗之心修改版,8.0 ,益智休闲,英文,33℃,2013-03-09,1.2,完全免费,Mika Mobile,2.0.1以上,2206,587
古老的传说汉化版,5.2 ,角色扮演,中文,33℃,2014-07-17,3.4,完全免费,Central Bytes Ltd,1.5以上,703,624
孤狼,7.0 ,射击游戏,中文,33℃,2016-06-06,1.1.08,完全免费,FDG Entertainment,4.0以上,2815,1360
会说话的宝贝,,益智休闲,英文,33℃,2016-06-02,4.13.0,完全免费,Kaufcom Games Apps Widgets,2.3以上,83,22
夺命侏罗纪,8.0 ,射击游戏,"英文, 中文",33℃,2016-05-19,1.3.5,完全免费,Glu,3.0以上,4193,818
请勿乱动,7.2 ,冒险解谜,"英文, 中文",33℃,2016-04-21,1.1.0,完全免费,Bulkypix,2.3以上,2440,1417
捕鱼大满贯赢话费,5.1 ,益智休闲,中文,33℃,2016-04-08,1.1.4,道具收费,上海时与光企业发展有限公司,2.2以上,509,1
贪吃蛇,4.8 ,益智休闲,英文,33℃,2015-11-03,1.1.0.1,完全免费,Rumilus Design,4.0以上,1448,113
三国大时代2一统天下,5.2 ,角色扮演,中文,33℃,2015-10-16,2.8,道具收费,昆明梵乐塔科技有限公司,2.1以上,386,119
手指任意球,7.3 ,体育运动,英文,33℃,2015-07-06,1.5.0,完全免费,PIKPOK,2.3以上,624,30
奇异世界:怪客的愤怒(含数据包),8.0 ,射击游戏,英文,33℃,2015-02-04,1.0.7,完全免费,Oddworks,4.0以上,2368,3088
驯龙高手,,动作游戏,英文,33℃,2014-10-24,2.7,完全免费,Easytime Studio,1.5以上,346,70
山(含数据包),7.7 ,角色扮演,英文,33℃,2014-08-21,1.2,完全免费,David OReilly,2.3以上,1363,1777
手绘摩托特技2,7.6 ,益智休闲,英文,33℃,2014-07-03,2.3,完全免费,Djinnworks e.U.,2.2以上,670,67
刺猬索尼克,6.4 ,益智休闲,中文,33℃,2014-02-15,2.0.4,完全免费,SEGA世嘉,2.3以上,615,81
足球经理2014免验证版(含数据包),5.2 ,模拟经营,英文,33℃,2014-02-12,5.1.2,完全免费,SEGA世嘉,2.2以上,416,132
空中打击上部,5.0 ,飞行游戏,英文,33℃,2014-01-20,1.8.1,完全免费,Art In Games,2.0.1以上,71,34
失落传说修改版(含数据包),,动作游戏,英文,33℃,2013-12-07,1.12,完全免费,,4.0以上,123,151
蓝图3D高清版(含数据包),5.6 ,益智休闲,英文,33℃,2013-12-06,1.0.2,完全免费,,2.3.3以上,418,913
死亡拉力赛,7.4 ,竞速游戏,英文,33℃,2012-09-18,1.1.4,完全免费,Remedy Entertainment,2.2以上,754,57
图腾跑酷完整版,5.3 ,益智休闲,英文,33℃,2013-09-04,1.0.1,完全免费,Chillingo,2.3以上,189,103
初音未来演唱会监制,8.1 ,模拟经营,日文,33℃,2013-07-26,1.1.7,完全免费,SEGA世嘉,2.3以上,4572,291
五虎断门刀,5.3 ,益智休闲,中文,33℃,2013-07-17,1.7,完全免费,NobStudio,2.2以上,62,95
地产大亨(含数据包),8.0 ,棋牌游戏,英文,33℃,2013-03-06,1.7.4,完全免费,EA,2.2以上,3993,175
青蛙跳河,,益智休闲,英文,33℃,2012-11-30,1.2,完全免费,PIPOGAME,2.2以上,36,0
疯狂机场2:狂野远行,,模拟经营,英文,33℃,2012-11-16,1.18,完全免费,Lemon Team,2.1以上,177,24
重装炮手3D(含数据包),5.2 ,射击游戏,"英文, 韩文",33℃,2012-10-29,1.0.8,完全免费,Com2uS,2.1以上,235,64
战争之王,,策略塔防,中文,33℃,2012-10-12,2.0.4,完全免费,第九城市,1.5以上,520,32
轻松找不同,,益智休闲,英文,33℃,2012-09-16,2.1,完全免费,Simply Game,2.2以上,42,1
疯狂卡丁车免费版,,竞速游戏,英文,33℃,2012-05-04,3,完全免费,gamayun,2.1以上,61,1
虫虫部落(含数据包),4.8 ,模拟经营,英文,33℃,2012-03-15,1.7.1,完全免费,Glu,2.0以上,189,56
超级坦克大战,5.1 ,射击游戏,中文,33℃,2011-10-24,2,完全免费,Alawar,1.6以上,60,22
摄像头之3D武器专业版,,射击游戏,英文,33℃,2011-08-28,1.6.1,完全免费,MobEpic,2.1以上,50,14
公主蓬特2,8.0 ,益智休闲,英文,32℃,2016-09-27,7.1.0.0,完全免费,GungHo Games,2.3以上,904,217
熊出没2,5.4 ,益智休闲,中文,32℃,2016-09-12,1.2.6,道具收费,合肥乐堂动漫信息技术有限公司,2.2以上,1920,79
谜途,5.8 ,益智休闲,中文,32℃,2016-09-09,1.0.5,完全免费,柠檬酱,2.3以上,152,845
